paper_row,paper_label,historical_path,historical_commit,historical_blob_sha,current_status,prune_evidence,provenance_status,notes
A0,YOLO26n,ultralytics/cfg/models/26/yolo26.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,1fd5cfc60d78954e1d2751ae466fcde7aeff6066,absent_from_current_models26,current directory now contains only A8,PUBLIC_HISTORICAL,Base YOLO26 config was present in first BAC-SSM release tree
A1,BAC,ultralytics/cfg/models/26/yolo26-scbconv.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,9414be45a34286edd6523988d5ef1aebedead2d9,absent_from_current_models26,removed in 28257ee89ba40e992280398a1f20d491b5075ca7,PUBLIC_HISTORICAL,Explicit removal recorded by prune commit
A2,CAPlus composite P3 refinement,ultralytics/cfg/models/26/yolo26-ca.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,46be0b69cb69851b3f086946ac2be5dd965dc470,absent_from_current_models26,current directory now contains only A8,PUBLIC_HISTORICAL,Historical YAML proves CA label actually denotes C3k2SCBNeckCAPlus at P3
A3,BAC + CAPlus composite P3 refinement,ultralytics/cfg/models/26/yolo26-scbconv-ca.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,a42bc38ea5f17f035d01fe25a2ca54363ccb8286,absent_from_current_models26,current directory now contains only A8,PUBLIC_HISTORICAL,Historical YAML combines SCBConv backbone with CAPlus P3 replacement
A4,standard SS2D,ultralytics/cfg/models/26/yolo26-ss2d.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,a84c0df57e8bec9bd8deaf78d43440ccd3fd7888,absent_from_current_models26,current directory now contains only A8,PUBLIC_HISTORICAL,Public release-history SS2D ablation
A5,DA-LC-SS2D,ultralytics/cfg/models/26/yolo26-da-lc-ss2d.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,d3cfd42ab829983270fca9c0d90b5e57086425cf,absent_from_current_models26,current directory now contains only A8,PUBLIC_HISTORICAL,Public release-history DA-LC ablation
A6,DA-LC + BAC,ultralytics/cfg/models/26/yolo26-da-lc-ss2d-scbconv.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,8012be80af4b21758f5fe79f78d236eb989dcd92,absent_from_current_models26,removed in 28257ee89ba40e992280398a1f20d491b5075ca7,PUBLIC_HISTORICAL,Historical YAML directly contradicts previous absent-from-history claim
A7,DA-LC + CAPlus composite P3 refinement,ultralytics/cfg/models/26/yolo26-da-lc-ss2d-ca.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,bd3afc64310efa4cb0c7f89ba51de23e10590acc,absent_from_current_models26,removed in 28257ee89ba40e992280398a1f20d491b5075ca7,PUBLIC_HISTORICAL,Historical YAML directly contradicts previous absent-from-history claim
A8,complete BAC-SSM-YOLO,ultralytics/cfg/models/26/yolo26-da-lc-ss2d-scbconv-ca.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,ffaede85cc26af2d4c27302cbddfdd50aebff5ea,present,retained in current branch,PUBLIC_CURRENT,Historical and current file use the same Git blob
Table5-standard,standard SS2D + BAC + CAPlus,ultralytics/cfg/models/26/yolo26-ss2d-scbconv-ca.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,4edb2dfbe9af33c3c175d36dbcf232ee7648b3ae,absent_from_current_models26,removed in 28257ee89ba40e992280398a1f20d491b5075ca7,PUBLIC_HISTORICAL,Public historical counterpart makes Table 5 structurally auditable
Table5-DALC,DA-LC-SS2D + BAC + CAPlus,ultralytics/cfg/models/26/yolo26-da-lc-ss2d-scbconv-ca.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,ffaede85cc26af2d4c27302cbddfdd50aebff5ea,present,retained in current branch,PUBLIC_CURRENT,Same as complete A8
Table6-DAonly,DA-only SS2D + BAC + CAPlus,,,,not_publicly_buildable,no matching public class/YAML located,NOT_TRACEABLE,Local audit references C3k2DASS2D/C2PSADASS2D which are absent from public implementation reviewed
Table6-LConly,LC-only SS2D + BAC + CAPlus,,,,not_publicly_buildable,no matching public class/YAML located,NOT_TRACEABLE,Local audit references C3k2LCSS2D/C2PSALCSS2D which are absent from public implementation reviewed
Table8-R1,gate ratio 0.03125,,,,not_publicly_buildable,no public R1 wrapper located,NOT_TRACEABLE,Non-default ratio wrapper not exposed by public YAML path
Table8-R2,gate ratio 0.0625,ultralytics/cfg/models/26/yolo26-da-lc-ss2d-scbconv-ca.yaml,bcdf87df9dfbe77e28ef310e0c7f04ca6e1cf5d8,ffaede85cc26af2d4c27302cbddfdd50aebff5ea,present,public default,CODE_CONFIRMED_DEFAULT,0.0625 is the public implementation default
Table8-R3,gate ratio 0.125,,,,not_publicly_buildable,no public R3 wrapper located,NOT_TRACEABLE,Non-default ratio wrapper not exposed by public YAML path
